tagId;lat;lon;locationX;locationY;location;locationCategory;Fell off;Re-Activated & deployed;Activated;Weight;Type;Got Time;Notes_x;MonitorLog.txt;Bag #;Transponder #;Mass Total;Mass Bag;Mass Bat;Sex;FA(mm);Age;Repro State;Tooth Wear;Testes Width;Testes Length;Bites;Guano;Notes_y;Transponder #.1;_merge
F9C0;;;;;;;;X;X;7.66 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:C0: group: 0x12345678, id: F9C0, 4219 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H41;989001044396389.0;205.0;45.0;160.0;M;95.74;A;SCR;1.0;15.87;16.12;N;;;389.0;both
F9D8;;;;;;;X;X;X;7.69 g;Tag;X;FALL OFF, FOUND @11:00 local time, 02.02.2023;TAG AROUND 30:83:98:D8:F9:D8: group: 0x12345678, id: F9D8, 4276 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;;;;;;;;;;;;;;;;;left_only
F9E8;;;;;;;;X;X;7.56 g;Tag;X;Unprotected;TAG AROUND 30:83:98:D8:F9:E8: group: 0x12345678, id: F9E8, 4251 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H30;989001044396557.0;210.0;45.0;165.0;M;98.66;A;SCR;;18.8;20.3;;;;557.0;both
F9F4;;;;;;;;X;X;7.60 g;Tag;X;Unprotected;TAG AROUND 30:83:98:D8:F9:F4: group: 0x12345678, id: F9F4, 4255 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H15;989001044396421.0;220.0;47.0;173.0;M;96.3;A;SCR;1.0;15.88;14.13;N;;;421.0;both
F9F8;;;;;;;;X;X;7.53 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:F8: group: 0x12345678, id: F9F8, 4203 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S49;989001044396537.0;200.0;40.0;160.0;M;94.01;A;SCR;;22.4;20.6;;Y;;537.0;both
FA08;;;;;;;;X;X;7.75 g;Tag;X;;TAG AROUND 30:83:98:D8:FA:08: group: 0x12345678, id: FA08, 4295 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E21;989001044396440.0;208.0;42.0;166.0;M;95.51;A;SCR;1.0;18.78;15.56;N;;;440.0;both
FAA8;;;;;;;X;X;X;7.64 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:FA:A8: group: 0x12345678, id: FAA8, 4253 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E25;989001044396527.0;200.0;40.0;160.0;M;99.2;A;SCR;;24.9;20.7;;;;527.0;both
FAAC;;;;;;;;X;X;7.62 g;Tag;X;;TAG AROUND 30:83:98:D8:FA:AC: group: 0x12345678, id: FAAC, 4260 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S37;989001044396505.0;205.0;40.0;165.0;M;96.6;A;SCR;;20.2;17.6;;;;505.0;both
FAF0;;;;;;;X;X;X;7.68 g;Tag;X;FALL OFF, FOUND @15:00 local time, 30.01.2023;TAG AROUND 30:83:98:D8:FA:F0: group: 0x12345678, id: FAF0, 4267 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S27;989001044396463.0;200.0;40.0;160.0;M;97.71;A;SCR;;19.9;19.7;;;;463.0;both
FB0C;;;;;;;;X;X;7.62 g;Tag;X;;TAG AROUND 30:83:98:D8:FB:0C: group: 0x12345678, id: FB0C, 4298 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H33;989001044396402.0;208.0;48.0;160.0;M;99.53;A;SCR;0.0;16.84;15.03;N;;;402.0;both
FB70;;;;;;;;X;X;7.73 g;Tag;X;;TAG AROUND 30:83:98:D8:FB:70: group: 0x12345678, id: FB70, 4267 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H7;989001044396377.0;200.0;47.0;153.0;M;94.37;A;SCR;0.0;15.19;18.8;N;;;377.0;both
FB98;;;;;;;;X;X;7.59 g;Tag;X;;TAG AROUND 30:83:98:D8:FB:98: group: 0x12345678, id: FB98, 4251 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H44;989001044396405.0;195.0;45.0;150.0;M;96.1;A;SCR;1.0;18.65;20.52;N;;;405.0;both
FE60;;;;;;;;X;X;7.70 g;Tag;X;;TAG AROUND 30:83:98:D8:FE:60: group: 0x12345678, id: FE60, 4276 mV, lastErrorId: 176, errorCnt: 1, mirroredCmdByte: 0x00, state: 4/A0/T0;H32;989001044396554.0;225.0;45.0;180.0;M;95.95;A;SCR;2.0;22.8;20.3;;;;554.0;both
FE70;;;;;;;X;X;X;7.70 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:FE:70: group: 0x12345678, id: FE70, 4250 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B40;989001044396555.0;200.0;45.0;155.0;M;95.35;A;SCR;;18.2;20.9;;;Scar 0n wing;555.0;both
FE74;;;;;;;;X;X;7.82 g;Tag;X;;TAG AROUND 30:83:98:D8:FE:74: group: 0x12345678, id: FE74, 4294 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B15;989001044396533.0;210.0;40.0;170.0;M;95.78;A;SCR;;22.6;20.2;;;;533.0;both
FE80;;;;;;;;X;X;7.70 g;Tag;X;;TAG AROUND 30:83:98:D8:FE:80: group: 0x12345678, id: FE80, 4308 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B38;989001044396511.0;225.0;45.0;180.0;M;99.35;A;SCR;0.0;22.5;20.8;;;;511.0;both
